step;type;amount;oldbalanceOrg;newbalanceOrig;oldbalanceDest;newbalanceDest;isFraud;isFlaggedFraud;amount_noisy
1;CASH_OUT;47458.86;209534.84;162075.98;52120.0;0.0;0;0;48214.10834847512
1;CASH_OUT;136872.92;162075.98;25203.05;217806.0;0.0;0;0;135592.51809052262
1;CASH_OUT;94253.33;25203.05;0.0;99773.0;965870.05;0;0;95058.05207492423
1;PAYMENT;2998.04;12030.0;9031.96;0.0;0.0;0;0;2968.884308884725
1;PAYMENT;3454.08;9031.96;5577.88;0.0;0.0;0;0;3436.0580107625246
1;PAYMENT;4316.2;10999.0;6682.8;0.0;0.0;0;0;4204.362674745995
1;PAYMENT;2131.84;224.0;0.0;0.0;0.0;0;0;2107.5230294525672
1;PAYMENT;12986.61;23350.0;10363.39;0.0;0.0;0;0;12987.093702723389
1;TRANSFER;42712.39;10363.39;0.0;57901.66;24044.18;0;0;42858.22208889618
1;TRANSFER;77957.68;0.0;0.0;94900.0;22233.65;0;0;78859.38183338763
1;TRANSFER;17231.46;0.0;0.0;24672.0;0.0;0;0;17282.392969648252
1;TRANSFER;78766.03;0.0;0.0;103772.0;277515.05;0;0;79727.10674946065
1;TRANSFER;224606.64;0.0;0.0;354678.92;0.0;0;0;226423.73403923018
1;TRANSFER;125872.53;0.0;0.0;348512.0;3420103.09;0;0;123979.10373044644
1;TRANSFER;379856.23;0.0;0.0;900180.0;19169204.93;0;0;381239.0896676334
1;TRANSFER;1505626.01;0.0;0.0;29031.0;5515763.34;0;0;1497322.2316613884
1;TRANSFER;554026.99;0.0;0.0;579285.56;0.0;0;0;554771.8921312438
1;TRANSFER;147543.1;0.0;0.0;223220.0;16518.36;0;0;147816.89527949487
1;TRANSFER;761507.39;0.0;0.0;1280036.23;19169204.93;0;0;765422.4910996226
1;TRANSFER;1429051.47;0.0;0.0;2041543.62;19169204.93;0;0;1404547.2323750474
1;TRANSFER;358831.92;0.0;0.0;474384.53;3420103.09;0;0;363451.8393997255
1;TRANSFER;367768.4;0.0;0.0;370763.1;16518.36;0;0;369974.2838711083
1;TRANSFER;209711.11;0.0;0.0;399214.71;2415.16;0;0;209663.9982681718
1;TRANSFER;583848.46;0.0;0.0;667778.0;2107778.11;0;0;581920.5612374399
1;TRANSFER;1724887.05;0.0;0.0;3470595.1;19169204.93;0;0;1753175.0002167204
1;TRANSFER;710544.77;0.0;0.0;738531.5;16518.36;0;0;710779.3691194915
1;TRANSFER;581294.26;0.0;0.0;5195482.15;19169204.93;0;0;575734.2029868758
1;TRANSFER;11996.58;0.0;0.0;40255.0;0.0;0;0;11846.844541290098
1;PAYMENT;2875.1;15443.0;12567.9;0.0;0.0;0;0;2868.0645597710823
1;PAYMENT;8586.98;3763.0;0.0;0.0;0.0;0;0;8571.917153732295
1;PAYMENT;871.75;19869.0;18997.25;0.0;0.0;0;0;879.8346397445622
1;PAYMENT;1035.36;71636.0;70600.64;0.0;0.0;0;0;1037.6248422699364
1;PAYMENT;1063.53;83084.0;82020.47;0.0;0.0;0;0;1054.6275455116472
1;PAYMENT;1019.9;204237.0;203217.1;0.0;0.0;0;0;1023.9452816394188
1;PAYMENT;4059.38;26304.0;22244.62;0.0;0.0;0;0;4025.1095390402006
1;PAYMENT;1876.44;182.0;0.0;0.0;0.0;0;0;1860.7859488255547
1;CASH_OUT;28404.6;0.0;0.0;51744.0;0.0;0;0;28004.072704536025
1;CASH_OUT;75405.1;0.0;0.0;104209.0;46462.23;0;0;74713.51212102527
1;CASH_OUT;50101.88;0.0;0.0;67684.0;9940339.29;0;0;50521.36343156084
1;CASH_OUT;14121.82;0.0;0.0;52679.0;10963.66;0;0;14141.683700199932
